ts,ITI,ITI_0,ITI_1,ITI_2,ITI_3,ITI_4,ITI_5,ITI_6
19,0,1,0,0,0,0,0,0
21.4,1,0,1,0,0,0,0,0
23.8,6,0,0,0,0,0,0,1
26.2,6,0,0,0,0,0,0,1
28.6,6,0,0,0,0,0,0,1
31,6,0,0,0,0,0,0,1
33.4,6,0,0,0,0,0,0,1
35.8,6,0,0,0,0,0,0,1
38.2,3,0,0,0,1,0,0,0
40.6,3,0,0,0,1,0,0,0
43,3,0,0,0,1,0,0,0
45.4,3,0,0,0,1,0,0,0
47.8,3,0,0,0,1,0,0,0
50.2,3,0,0,0,1,0,0,0
52.6,3,0,0,0,1,0,0,0
55,3,0,0,0,1,0,0,0
57.4,3,0,0,0,1,0,0,0
59.8,1,0,1,0,0,0,0,0
62.2,1,0,1,0,0,0,0,0
64.6,2,0,0,1,0,0,0,0
67,2,0,0,1,0,0,0,0
69.4,2,0,0,1,0,0,0,0
71.8,2,0,0,1,0,0,0,0
74.2,2,0,0,1,0,0,0,0
76.6,2,0,0,1,0,0,0,0
79,1,0,1,0,0,0,0,0
81.4,3,0,0,0,1,0,0,0
83.8,3,0,0,0,1,0,0,0
86.2,3,0,0,0,1,0,0,0
88.6,2,0,0,1,0,0,0,0
91,2,0,0,1,0,0,0,0
93.4,2,0,0,1,0,0,0,0
95.8,2,0,0,1,0,0,0,0
98.2,2,0,0,1,0,0,0,0
100.6,2,0,0,1,0,0,0,0
103,2,0,0,1,0,0,0,0
105.4,2,0,0,1,0,0,0,0
107.8,1,0,1,0,0,0,0,0
110.2,1,0,1,0,0,0,0,0
112.6,1,0,1,0,0,0,0,0
115,3,0,0,0,1,0,0,0
117.4,3,0,0,0,1,0,0,0
119.8,3,0,0,0,1,0,0,0
122.2,5,0,0,0,0,0,1,0
124.6,5,0,0,0,0,0,1,0
127,5,0,0,0,0,0,1,0
129.4,5,0,0,0,0,0,1,0
131.8,2,0,0,1,0,0,0,0
134.2,2,0,0,1,0,0,0,0
136.6,2,0,0,1,0,0,0,0
139,1,0,1,0,0,0,0,0
141.4,2,0,0,1,0,0,0,0
143.8,2,0,0,1,0,0,0,0
146.2,2,0,0,1,0,0,0,0
148.6,2,0,0,1,0,0,0,0
151,2,0,0,1,0,0,0,0
153.4,2,0,0,1,0,0,0,0
155.8,2,0,0,1,0,0,0,0
158.2,2,0,0,1,0,0,0,0
160.6,2,0,0,1,0,0,0,0
163,2,0,0,1,0,0,0,0
165.4,3,0,0,0,1,0,0,0
167.8,3,0,0,0,1,0,0,0
170.2,3,0,0,0,1,0,0,0
172.6,2,0,0,1,0,0,0,0
175,2,0,0,1,0,0,0,0
177.4,3,0,0,0,1,0,0,0
179.8,3,0,0,0,1,0,0,0
182.2,3,0,0,0,1,0,0,0
184.6,3,0,0,0,1,0,0,0
187,3,0,0,0,1,0,0,0
189.4,3,0,0,0,1,0,0,0
191.8,1,0,1,0,0,0,0,0
194.2,1,0,1,0,0,0,0,0
196.6,2,0,0,1,0,0,0,0
199,2,0,0,1,0,0,0,0
201.4,3,0,0,0,1,0,0,0
203.8,3,0,0,0,1,0,0,0
206.2,3,0,0,0,1,0,0,0
208.6,4,0,0,0,0,1,0,0
211,4,0,0,0,0,1,0,0
213.4,4,0,0,0,0,1,0,0
215.8,4,0,0,0,0,1,0,0
218.2,2,0,0,1,0,0,0,0
220.6,2,0,0,1,0,0,0,0
223,3,0,0,0,1,0,0,0
225.4,3,0,0,0,1,0,0,0
227.8,3,0,0,0,1,0,0,0
230.2,2,0,0,1,0,0,0,0
232.6,2,0,0,1,0,0,0,0
235,2,0,0,1,0,0,0,0
237.4,2,0,0,1,0,0,0,0
239.8,1,0,1,0,0,0,0,0
242.2,1,0,1,0,0,0,0,0
244.6,2,0,0,1,0,0,0,0
247,2,0,0,1,0,0,0,0
249.4,3,0,0,0,1,0,0,0
251.8,3,0,0,0,1,0,0,0
254.2,3,0,0,0,1,0,0,0
256.6,6,0,0,0,0,0,0,1
